trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.2902095451237,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999500004166653}",25,0,-139.42789189921152,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-73.58713330747244,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9995500337489875}",35,0,-129.54267254453362,"{0: 24, 1: 2, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-33.734135746459295,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9987502603949663}",25,0,-65.01315193918731,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-148.71315294809267,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9975510002532796}",35,0,-212.1087576282436,"{0: 21, 1: 1, 2: 7, 3: 4, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9968017063026194}",30,15,-27.53708244240366,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-134.03620276412053,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9950041652780257}",30,0,-167.42703021516022,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9939560979566968}",25,4,-103.60351971180076,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.9928086358538663}",30,0,-121.32243594748167,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
