trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.53023398720613,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.73576945681928,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.84550871012425,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.94314380733633,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.23471166904676,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.36379612493806,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.42220013143248,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.6845450125467,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-259.4842159220556,"{0: 16, 1: 3, 2: 4, 3: 3, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.16148248377445,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.53334394278298,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-223.78921264400196,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.87793063873131,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.2601897018281,"{0: 12, 1: 0, 2: 3, 3: 4, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-120.48383182002549,"{0: 21, 1: 3, 2: 9, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,8,-7.535740805523905,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.624836129370564,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.89626176705178,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.8065323656142,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-9.54737125455854,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.11944481241746,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,11,-29.439687974980185,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-15.036374301787825,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.01190427189186,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.94121903565715,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.63176172511655,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-341.7780963377235,"{0: 14, 1: 5, 2: 9, 3: 2, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-171.63651396707226,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.45307471736199,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.716372140258585,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
